name,distance,x,y,z,hole_depth (m)
S100 down,1076.4,10.829,23.665,87.752,0.0
S100 down,1078.3193,10.748,23.772,85.756,2.0
S100 down,1080.2388,10.658,23.9,83.762,4.0
S100 down,1082.1581,10.52,24.071,81.774,6.0
S100 down,1084.0774,10.36,24.313,79.795,8.0
S100 down,1085.9967,10.171,24.59,77.824,10.0
S100 down,1087.9162,9.932,24.93,75.868,12.0
S100 down,1089.8355,9.684,25.29,73.916,14.0
S100 down,1091.7548,9.411,25.665,71.97,16.0
S100 down,1093.6742,9.091,26.097,70.044,18.0
S100 down,1095.5936,8.756,26.56,68.127,20.0
S100 down,1097.5129,8.411,27.068,66.224,22.0
S100 down,1099.4322,8.073,27.617,64.331,24.0
S100 down,1101.3516,7.7,28.196,62.453,26.0
S100 down,1103.271,7.367,28.824,60.584,28.0
S100 down,1105.1903,7.024,29.473,58.723,30.0
S100 down,1106.15,6.851,29.813,57.799,31.0
S100 up,1106.15,6.851,29.813,57.799,31.0
S100 up,1107.1097,7.024,29.473,58.723,30.0
S100 up,1109.029,7.367,28.824,60.584,28.0
S100 up,1110.9484,7.7,28.196,62.453,26.0
S100 up,1112.8678,8.073,27.617,64.331,24.0
S100 up,1114.7871,8.411,27.068,66.224,22.0
S100 up,1116.7064,8.756,26.56,68.127,20.0
S100 up,1118.6258,9.091,26.097,70.044,18.0
S100 up,1120.5452,9.411,25.665,71.97,16.0
S100 up,1122.4645,9.684,25.29,73.916,14.0
S100 up,1124.3838,9.932,24.93,75.868,12.0
S100 up,1126.3033,10.171,24.59,77.824,10.0
S100 up,1128.2226,10.36,24.313,79.795,8.0
S100 up,1130.1419,10.52,24.071,81.774,6.0
S100 up,1132.0612,10.658,23.9,83.762,4.0
S100 up,1133.9807,10.748,23.772,85.756,2.0
S100 up,1135.9,10.829,23.665,87.752,0.0
S120 down,1180.5,26.299,10.966,87.667,0.0
S120 down,1182.4097,26.252,11.03,85.668,2.0
S120 down,1184.3194,26.156,11.126,83.673,4.0
S120 down,1186.2291,26.023,11.252,81.681,6.0
S120 down,1188.1387,25.829,11.409,79.697,8.0
S120 down,1190.0484,25.613,11.603,77.718,10.0
S120 down,1191.9581,25.352,11.83,75.748,12.0
S120 down,1193.8678,25.061,12.088,73.786,14.0
S120 down,1195.7774,24.754,12.342,71.826,16.0
S120 down,1197.6871,24.379,12.667,69.889,18.0
S120 down,1199.5968,23.946,13.047,67.974,20.0
S120 down,1201.5065,23.483,13.435,66.067,22.0
S120 down,1203.4161,22.989,13.911,64.189,24.0
S120 down,1205.3258,22.471,14.446,62.332,26.0
S120 down,1207.2355,21.902,15.009,60.499,28.0
S120 down,1209.1452,21.338,15.616,58.679,30.0
S120 down,1210.1,21.061,15.926,57.77,31.0
S120 up,1210.1,21.061,15.926,57.77,31.0
S120 up,1211.0548,21.338,15.616,58.679,30.0
S120 up,1212.9645,21.902,15.009,60.499,28.0
S120 up,1214.8742,22.471,14.446,62.332,26.0
S120 up,1216.7839,22.989,13.911,64.189,24.0
S120 up,1218.6935,23.483,13.435,66.067,22.0
S120 up,1220.6032,23.946,13.047,67.974,20.0
S120 up,1222.5129,24.379,12.667,69.889,18.0
S120 up,1224.4226,24.754,12.342,71.826,16.0
S120 up,1226.3322,25.061,12.088,73.786,14.0
S120 up,1228.2419,25.352,11.83,75.748,12.0
S120 up,1230.1516,25.613,11.603,77.718,10.0
S120 up,1232.0613,25.829,11.409,79.697,8.0
S120 up,1233.9709,26.023,11.252,81.681,6.0
S120 up,1235.8806,26.156,11.126,83.673,4.0
