object_type,distance_min,distance_max,name,container,loss_db,loss_measurement,reflectance_db,reflectance_measurement
FiberSegment,0,305,fiber to 305 m,telemetry-cable,,,,
Connector,305,,connector 1,,0.68,otdr-channel-4,-64.863,otdr-channel-4
FiberSegment,305,643,fiber to 643 m,telemetry-cable,,,,
Splice,643,,splice 1,,0.919,otdr-channel-4,,
FiberSegment,643,813,fiber to 813 m,telemetry-cable,,,,
Splice,813,,splice 2,,1.405,otdr-channel-4,,
FiberSegment,813,965,fiber to 965 m,telemetry-cable,,,,
Connector,965,,connector 2,,0.368,otdr-channel-4,-68.317,otdr-channel-4
FiberSegment,965,1064,fiber to 1064 m,telemetry-cable,,,,
Splice,1064,,splice 3,,0.447,otdr-channel-4,,
FiberSegment,1064,1537.8,fiber to 1537.8 m,strain-cable-vertical,,,,
Splice,1537.8,,vertical to inclined cable junction,,0.585,otdr-channel-4,,
FiberSegment,1537.8,1555.5,fiber to 1555.5 m,strain-cable-inclined,,,,
Splice,1555.5,,"S170 top, down leg",,,,,
FiberSegment,1555.5,1582.5,fiber to 1582.5 m,strain-cable-inclined,,,,
Splice,1582.5,,S170 bottom,,,,,
FiberSegment,1582.5,1615.8,fiber to 1615.8 m,strain-cable-inclined,,,,
Splice,1615.8,,"S170 top, up leg",,,,,
FiberSegment,1615.8,1638,fiber to 1638 m,strain-cable-inclined,,,,
Splice,1638,,S170 to S150 junction,,0.755,otdr-channel-4,,
FiberSegment,1638,1645.8,fiber to 1645.8 m,strain-cable-inclined,,,,
Splice,1645.8,,"S150 top, down leg",,,,,
FiberSegment,1645.8,1672.9,fiber to 1672.9 m,strain-cable-inclined,,,,
Splice,1672.9,,S150 bottom,,,,,
FiberSegment,1672.9,1704.8,fiber to 1704.8 m,strain-cable-inclined,,,,
Splice,1704.8,,"S150 top, up leg",,,,,
FiberSegment,1704.8,1721.9,fiber to 1721.9 m,strain-cable-inclined,,,,
Splice,1721.9,,S150 to S130 junction,,,,,
FiberSegment,1721.9,1738.9,fiber to 1738.9 m,strain-cable-inclined,,,,
Splice,1738.9,,"S130 top, down leg",,0.635,otdr-channel-4,,
FiberSegment,1738.9,1766.9,fiber to 1766.9 m,strain-cable-inclined,,,,
Splice,1766.9,,S130 bottom,,,,,
FiberSegment,1766.9,1796.2,fiber to 1796.2 m,strain-cable-inclined,,,,
Splice,1796.2,,"S130 top, up leg",,,,,
FiberSegment,1796.2,1811.5,fiber to 1811.5 m,strain-cable-inclined,,,,
Splice,1811.5,,S130 to S110 junction,,,,,
FiberSegment,1811.5,1826.8,fiber to 1826.8 m,strain-cable-inclined,,,,
Splice,1826.8,,"S110 top, down leg",,0.631,otdr-channel-4,,
