object_type,distance_min,distance_max,name,container,loss_db,loss_measurement,reflectance_db,reflectance_measurement
FiberSegment,1826.8,1856.1,fiber to 1856.1 m,strain-cable-inclined,,,,
Splice,1856.1,,S110 bottom,,,,,
FiberSegment,1856.1,1887,fiber to 1887 m,strain-cable-inclined,,,,
Splice,1887,,"S110 top, up leg",,,,,
FiberSegment,1887,1902.4,fiber to 1902.4 m,strain-cable-inclined,,,,
Splice,1902.4,,S110 to N100 junction,,,,,
FiberSegment,1902.4,2006.6,fiber to 2006.6 m,strain-cable-inclined,,,,
Splice,2006.6,,south to north drift splice 1,,0.465,otdr-channel-4,,
FiberSegment,2006.6,2155.4,fiber to 2155.4 m,strain-cable-inclined,,,,
Splice,2155.4,,south to north drift splice 2,,,,,
FiberSegment,2155.4,2170.2,fiber to 2170.2 m,strain-cable-inclined,,,,
Splice,2170.2,,"N100 top, down leg",,0.2,otdr-channel-4,,
FiberSegment,2170.2,2199.5,fiber to 2199.5 m,strain-cable-inclined,,,,
Splice,2199.5,,N100 bottom,,,,,
FiberSegment,2199.5,2227.9,fiber to 2227.9 m,strain-cable-inclined,,,,
Splice,2227.9,,"N100 top, up leg",,,,,
FiberSegment,2227.9,2243.4,fiber to 2243.4 m,strain-cable-inclined,,,,
Splice,2243.4,,N100 to N120 junction,,,,,
FiberSegment,2243.4,2259.9,fiber to 2259.9 m,strain-cable-inclined,,,,
Splice,2259.9,,"N120 top, down leg",,,,,
FiberSegment,2259.9,2289.7,fiber to 2289.7 m,strain-cable-inclined,,,,
Splice,2289.7,,N120 bottom,,,,,
FiberSegment,2289.7,2318.6,fiber to 2318.6 m,strain-cable-inclined,,,,
Splice,2318.6,,"N120 top, up leg",,,,,
FiberSegment,2318.6,2335.8,fiber to 2335.8 m,strain-cable-inclined,,,,
Splice,2335.8,,N120 to N140 junction,,,,,
FiberSegment,2335.8,2352.9,fiber to 2352.9 m,strain-cable-inclined,,,,
Splice,2352.9,,"N140 top, down leg",,,,,
FiberSegment,2352.9,2382.5,fiber to 2382.5 m,strain-cable-inclined,,,,
Splice,2382.5,,N140 bottom,,,,,
FiberSegment,2382.5,2413.5,fiber to 2413.5 m,strain-cable-inclined,,,,
Splice,2413.5,,"N140 top, up leg",,,,,
FiberSegment,2413.5,2427.9,fiber to 2427.9 m,strain-cable-inclined,,,,
Splice,2427.9,,N140 to N160 junction,,,,,
FiberSegment,2427.9,2439.6,fiber to 2439.6 m,strain-cable-inclined,,,,
Splice,2439.6,,"N160 top, down leg",,,,,
FiberSegment,2439.6,2468.5,fiber to 2468.5 m,strain-cable-inclined,,,,
Splice,2468.5,,N160 bottom,,,,,
FiberSegment,2468.5,2498.4,fiber to 2498.4 m,strain-cable-inclined,,,,
Splice,2498.4,,"N160 top, up leg",,,,,
FiberSegment,2498.4,2515.1,fiber to 2515.1 m,strain-cable-inclined,,,,
Splice,2515.1,,N160 to N180 junction,,,,,
FiberSegment,2515.1,2531.6,fiber to 2531.6 m,strain-cable-inclined,,,,
Splice,2531.6,,"N180 top, down leg",,0.294,otdr-channel-4,,
FiberSegment,2531.6,2559.3,fiber to 2559.3 m,strain-cable-inclined,,,,
Splice,2559.3,,N180 bottom,,,,,
FiberSegment,2559.3,2588.1,fiber to 2588.1 m,strain-cable-inclined,,,,
Splice,2588.1,,"N180 top, up leg",,,,,
FiberSegment,2588.1,2608,fiber to 2608 m,strain-cable-inclined,,,,
Terminator,2608,,fiber end,,,,-51.063,otdr-channel-4
