distance_min,distance_max,group,value
1076.4,1135.9,borehole,S100
1076.4,1106.15,leg,down
1106.15,1135.9,leg,up
1076.4,1135.9,drift,south
1180.5,1239.7,borehole,S120
1180.5,1210.1,leg,down
1210.1,1239.7,leg,up
1180.5,1239.7,drift,south
1265.5,1325.0,borehole,S140
1265.5,1295.25,leg,down
1295.25,1325.0,leg,up
1265.5,1325.0,drift,south
1364.7,1425.5,borehole,S160
1364.7,1395.1,leg,down
1395.1,1425.5,leg,up
1364.7,1425.5,drift,south
1465.7,1522.7,borehole,S180
1465.7,1494.2,leg,down
1494.2,1522.7,leg,up
1465.7,1522.7,drift,south
1554.9,1615.1,borehole,S170
1554.9,1585.0,leg,down
1585.0,1615.1,leg,up
1554.9,1615.1,drift,south
1645.7,1704.7,borehole,S150
1645.7,1675.2,leg,down
1675.2,1704.7,leg,up
1645.7,1704.7,drift,south
1738.7,1795.7,borehole,S130
1738.7,1767.2,leg,down
1767.2,1795.7,leg,up
1738.7,1795.7,drift,south
1826.7,1886.7,borehole,S110
1826.7,1856.7,leg,down
1856.7,1886.7,leg,up
1826.7,1886.7,drift,south
2170.0,2227.9,borehole,N100
2170.0,2198.95,leg,down
2198.95,2227.9,leg,up
2170.0,2227.9,drift,north
2259.7,2318.7,borehole,N120
2259.7,2289.2,leg,down
2289.2,2318.7,leg,up
2259.7,2318.7,drift,north
2352.7,2413.1,borehole,N140
2352.7,2382.9,leg,down
2382.9,2413.1,leg,up
2352.7,2413.1,drift,north
2439.7,2498.1,borehole,N160
2439.7,2468.9,leg,down
2468.9,2498.1,leg,up
2439.7,2498.1,drift,north
2531.6,2588.4,borehole,N180
2531.6,2560.0,leg,down
2560.0,2588.4,leg,up
2531.6,2588.4,drift,north
